Stkcd,Year,TFP_OLS,lnY,lnL,lnK,lnM
000030,2020,5.070508890635524,23.131420153201436,8.908829791587868,21.624978448302134,22.41110208437959
000030,2021,4.99556808804626,23.274912050924335,8.94832604627298,21.8191686740401,22.72127751875128
000030,2022,4.926110036958559,23.254620036580654,8.998136760700307,21.799018725319467,22.779387015846314
000030,2023,5.113878343117308,23.485969994616493,8.984443032465352,21.790613701297776,22.856559000602324
000030,2024,5.0553550553557125,23.524708760133176,8.99118884193151,21.908252527214227,22.996165461329205
000031,2020,5.421149591807635,24.372501879227126,9.23824732522919,22.121431987487522,23.631001578268297
000031,2021,5.010613548307952,24.47546034591787,9.22876950744455,22.035595665691528,24.468608854356713
000031,2022,5.3113823315340705,24.401556724428563,9.18296917518005,21.981667333567994,23.894949745571186
000031,2023,5.5029693884146385,24.328308362477678,8.846640813100485,21.917509757305226,23.63284525904987
000031,2024,5.599175471727681,24.30095327742893,8.73052880173936,21.825046719650793,23.4987553420682
000032,2020,5.0638014750161,21.1425054951751,6.16541785423142,18.22214489162347,20.88340277246973
000032,2021,4.96988111598136,24.477549900757577,9.937695723865865,22.16530875287496,24.1950879340712
000032,2022,4.972678713771818,24.65610901341746,10.092908846445306,22.20146009888752,24.401180409614
000032,2023,4.9816863388691255,24.75367114094638,10.058566372936209,22.315786639487822,24.54618067071054
000032,2024,5.2859337139909295,24.933753935940338,9.903737521291335,22.379225958219546,24.411431249788045
000034,2020,5.701639817930272,25.245711191815545,8.427049641563272,19.107867857244866,25.296285488814675
000034,2021,5.743908303822988,25.530436634203802,8.558335134747413,19.08216255500966,25.627376710475044
000034,2022,5.716323901181135,25.475821187720346,8.571491964823617,19.081594166226775,25.57800880293339
000034,2023,5.604605774593737,25.50761838839793,8.728102205062104,20.056717274885667,25.625848688308793
000034,2024,5.6318425955479166,25.576595199154823,8.684231891345675,20.3969087561326,25.67469846968791
000035,2020,4.7742911776355195,23.80826697771963,11.005826222945052,22.81756047132046,22.868270496839997
000035,2021,5.294168167761257,23.74820112623559,9.637306011530349,21.417996138543696,22.72833212822707
000035,2022,4.64246335403918,22.626373158876692,9.797293356129725,21.400612324910956,21.90237925001751
000035,2023,4.536225025555852,22.39542139078672,9.874933745118067,21.71326232238981,21.631229140430463
000035,2024,4.530990120052253,22.45798504455133,9.883029710633732,21.695387265438185,21.73824012462143
000036,2020,5.824123377902361,21.718391758132242,6.692083742506628,20.494695900109274,20.087966775915866
000036,2021,5.565580236363307,21.35556217151035,6.618738983517219,20.469033457078257,19.957495265883562
000036,2022,6.133191930300758,21.57510193149905,6.650279048587422,20.442212840047326,19.387704843894582
000036,2023,4.637957645941268,20.15269627766989,6.555356891810665,20.415864886915344,19.551339863461013
000036,2024,4.475091683243066,19.868319142235638,6.4692503167957724,20.386905005551405,19.39951182438378
000037,2020,4.8936335609669905,20.708409862973717,5.998936561946683,20.64610960199521,20.263681461732777
000037,2021,4.581051085264815,20.445105942198367,5.971261839790462,20.28205395590915,20.396557983829844
000037,2022,4.486509658842054,20.358310501105407,5.945420608606575,20.19781749429158,20.430421010934257
000037,2023,4.48667830521383,20.195260467328378,5.648974238161206,20.163744829631664,20.30946962853987
000037,2024,4.546720252119795,19.90901702092655,5.676753802268282,19.927429660085345,19.767907319308986
000038,2020,5.496314606473331,21.47950222037222,4.990432586778736,15.911459997677733,21.53371597755822
000038,2021,5.253248493333442,21.538232111213862,5.976350909297934,16.555812045291766,21.48951433284072
000039,2020,4.858032703333717,25.268251561108446,10.841539776191796,24.28747908627878,24.98564843036671
000039,2021,5.053885293965686,25.821276763905292,10.854102413454237,24.27848194687346,25.553695486127484
000039,2022,4.958225081713082,25.675824559354187,10.850171689730077,24.392006204167984,25.462852398845772
000039,2023,4.951120255177622,25.573806859684158,10.832339066455141,24.420976580178216,25.315602929912377
000039,2024,5.078147480979912,25.903160514553516,10.83340501732494,24.5056213580895,25.630058041289377
000042,2020,5.406723902631925,23.093230992432428,7.819636302367592,20.7982075492208,22.407145839408496
000042,2021,5.25376353187371,22.883842443884937,7.866722285136729,20.766398244591176,22.298476085010346
000042,2022,5.427821613191967,22.680969193883143,7.900636613018005,20.69220595725922,21.68664581413114
000042,2023,5.733021871649272,22.754117234079683,7.803026643632217,20.643201614413098,21.365106681417974
000042,2024,5.216089090501883,22.187365500132834,7.734121303328305,20.57532408639259,21.324700105665837
000045,2020,4.680659959165458,21.46946299472772,7.221835825288449,20.48777626795383,21.278630436520572
000045,2021,4.595136593146958,21.553452950773817,7.396948602621014,21.601109743513863,21.34403043642901
000045,2022,4.650565596818891,21.766361280496007,7.362010551259734,21.529840651649906,21.620778348407
000045,2023,4.765413569978123,21.848091004924182,7.255591274253665,21.448883226869697,21.625965532373158
000045,2024,4.768958729143372,21.92782337288749,7.236339342754344,21.35110238178369,21.76807805424672
000048,2020,5.215913904362364,22.127278128599734,7.173958319756794,20.103700487436516,21.54063117469163
000048,2021,4.377428167841182,21.893104989562847,7.737616282857904,21.885120522517735,22.048491211367228
000048,2022,4.740877309066634,22.51430106139585,7.978996370854115,22.29659995124336,22.30393116568611
000048,2023,5.415948013474812,23.24233284030577,8.026823576217629,22.523620580219042,22.34116963812318
000048,2024,4.901589971591151,22.50841679949468,8.072779333169498,22.43222003287212,21.97811305337581
000049,2020,4.912301971986648,23.68842675567896,9.193499354780156,20.647862184584575,23.536824651599613
000049,2021,4.857108096107628,23.692184534475203,9.265301930050157,20.563643248365587,23.607691943322912
